INFO:  2023-06-12 01:24:26,845:  17136:  warehouse_load:  Warehouse load session of Shops has ended.
INFO:  2023-06-12 01:24:26,845:  17136:  main:  Warehouse load of Shops CPU usage 0.0%.
INFO:  2023-06-12 01:24:26,846:  17136:  main:  Warehouse load took: 0.02431511878967285 seconds.
INFO:  2023-06-12 01:24:26,846:  17136:  warehouse_load:  Start Warehouses warehouse load session.
INFO:  2023-06-12 01:24:26,864:  17136:  warehouse_load:  Warehouse load session of Warehouses completed successfully.
INFO:  2023-06-12 01:24:26,865:  17136:  warehouse_load:  Warehouse load session of Warehouses has ended.
INFO:  2023-06-12 01:24:26,865:  17136:  main:  Warehouse load of Warehouses CPU usage 6.7%.
INFO:  2023-06-12 01:24:26,865:  17136:  main:  Warehouse load took: 0.01929616928100586 seconds.
INFO:  2023-06-12 01:24:26,865:  17136:  warehouse_load:  Start Vendors warehouse load session.
INFO:  2023-06-12 01:24:26,890:  17136:  warehouse_load:  Warehouse load session of Vendors completed successfully.
INFO:  2023-06-12 01:24:26,890:  17136:  warehouse_load:  Warehouse load session of Vendors has ended.
INFO:  2023-06-12 01:24:26,891:  17136:  main:  Warehouse load of Vendors CPU usage 0.0%.
INFO:  2023-06-12 01:24:26,891:  17136:  main:  Warehouse load took: 0.024782419204711914 seconds.
INFO:  2023-06-12 01:24:26,891:  17136:  warehouse_load:  Start Commercial Invoices warehouse load session.
INFO:  2023-06-12 01:24:35,986:  17136:  warehouse_load:  Warehouse load session of Commercial Invoices completed successfully.
INFO:  2023-06-12 01:24:35,987:  17136:  warehouse_load:  Warehouse load session of Commercial Invoices has ended.
INFO:  2023-06-12 01:24:35,988:  17136:  main:  Warehouse load of Commercial Invoices CPU usage 1.6%.
INFO:  2023-06-12 01:24:35,988:  17136:  main:  Warehouse load took: 9.097653865814209 seconds.
INFO:  2023-06-12 01:24:35,988:  17136:  warehouse_load:  Start Freight Invoices warehouse load session.
INFO:  2023-06-12 01:24:43,579:  17136:  warehouse_load:  Warehouse load session of Freight Invoices completed successfully.
